Type,2008,2009,2010,2011,2012,2013,2014,2015,2016
Electric Two-Wheelers,"17,068","26,485","2,761",,,,,,
LCVs,"2,52,813","2,26,505","3,12,361","4,00,645","5,24,046","5,85,025","4,85,470","4,38,480","4,49,828"
M & HCV,"2,96,675","2,00,314","2,65,369","3,52,060","3,77,711","2,88,213","2,24,431","2,63,407","3,37,565"
Mopeds,"4,31,983","4,38,514","5,71,489","7,03,713","7,85,942","7,92,069","7,30,172","7,58,621","7,38,547"
Motor Cycles,"65,44,349","68,02,971","84,44,100","1,05,00,073","1,19,44,898","1,19,47,008","1,24,63,932","1,29,78,079","1,29,09,398"
Multi-Utility Vehivles,"3,53,438","3,36,422","4,27,432","5,43,795","3,68,993","5,64,085","5,69,272","6,29,160","7,05,385"
Passenger Cars,"14,14,845","15,52,010","19,70,046","24,30,105","27,69,629","26,60,344","25,30,379","25,93,417","27,38,182"
Scooters,"10,75,591","11,73,823","14,92,659","21,26,109","26,53,421","30,14,486","36,96,674","46,96,327","52,89,159"
Three-wheelers,"5,06,006","4,97,793","6,13,606","7,95,989","8,75,034","8,41,378","8,33,477","9,40,226","9,42,533"
Total,"1,08,92,768","1,12,54,837","1,40,99,823","1,78,52,489","2,02,99,674","2,06,92,608","2,15,33,807","2,32,97,717","2,41,10,597"
Total Two-Wheelers,"80,68,991","84,41,793","1,05,11,009","1,33,29,895","1,53,84,261","1,57,53,563","1,68,90,778","1,84,33,027","1,89,37,104"
Total commercial Vehicles,"5,49,488","4,26,819","5,77,730","7,52,705","9,01,757","8,73,238","7,09,901","7,01,887","7,87,393"
