State Code,State,Two wheelers,Cars
1,Jammu & Kashmir,30,16
2,Himachal Pradesh,31,20
3,Punjab,77,15
4,Chandigarh,70,39
5,Uttarakhand,54,9
6,Haryana,69,13
7,Delhi,57,12
8,Rajasthan,65,9
9,Uttar Pradesh,56,4
10,Bihar,31,1
11,Sikkim,9,14
12,Arunachal Pradesh,45,18
13,Nagaland,12,19
14,Manipur,51,15
15,Mizoram,57,17
16,Tripura,33,4
17,Meghalaya,19,11
18,Assam,29,4
19,West Bengal,27,2
20,Jharkhand,45,3
21,Odisha,43,2
22,Chhattisgarh,60,4
23,Madhya Pradesh,66,5
24,Gujarat,72,11
25,Dadra & Nagar Haveli and Daman & Diu,34,5
26,Maharashtra,61,9
27,Andhra Pradesh,58,3
28,Karnataka,68,8
29,Goa,82,36
30,Lakshadweep,69,0
31,Kerala,63,26
32,Tamil Nadu,71,6
33,Puducherry,85,12
34,Andaman & Nicobar Islands,52,15
35,Telangana,70,7
36,Ladakh,23,18
